source,edge,target
biological Biological journal,See,broad journal publishing relevance
African we,History of,Caribbean objects
External blood links,=,thymic blood cortex
External blood cell links,made in,Wikimedia Commons
human skeleton References,=,human skeleton =
app source code,See,External Exposure links
References,=,community May
2019 BMI calculator,July,Disease Control
External References links,biography,early COVID-19 authorities
External Orthopnea links,=,also Orthopnea =
IIBR-100 entry,suggested,CoV-2 S Vaccine
Broad spectrum References,=,Broad spectrum =
External  links,=,Greek  airway
2007 4–12 we,Reassessing,Asian objects
2020 Coronavirus Functions,May,2020 Commons Library
External  links,PMID,2014 Clinical Practice Bronchiolitis
External  links,=,Further  =
External  links,May,Idiopathic Interstitial Pneumonias
Mesothelioma Lung References,=,Mesothelioma Lung =
External  links,affect,Chronic Mayo Clinic bronchitis
Mesothelioma Lung References,=,Mesothelioma Lung =
also Lobar References,=,multiple drug antibiotics
External Arthur F. links,=,bronchial  atresia
Irish Michael J. doctor,Aylwar at,2020 World Health Organization
References,=,editorial  quality
External  links,=,targeted  therapy
MedlinePlus Medical Encyclopedia,ISBN,Global Trade
External Attracts links,reading,Further UCSC Genome =
analyte Online Association,Overview of,C reactive PDBe KB
reduced COVID-19 patients,University,External T cell Group
References,=,COVID-19 Hope Medical Center
Iran research References,=,Iran research =
cite Cite journal,requires,help
also Coronavirus Task References,=,also Coronavirus Task Force
External  links,PMID,Genomic SARS CoV-2 England
WHO/2019 nCoV NHS England,Guidance for post,COVID syndrome assessment clinics
External  links,listed several,Corona Testing
References,=,restrictions
External References links,designated,132 treatment Indonesia
References,=,required  amount
References,=,other industry groups
References,=,70  clinic
References,=,Canada
2022 Winter Paralympics References,=,2022 Winter Paralympics =
2021 Cramner fine,covered,COVID-19 Wikimedia Commons
Who,Intercept,Far Right Network
2020 Summer References,=,2020 Summer =
External International Humanitarian links,Retrieved,10 Tracing 08
References,=,such COVID-19 case data
2021 Street refurbishment References,=,2021 Street refurbishment =
Statistics Alert References,=,3 Alert classification
32284951 Tuccori M,Agency,Health Organization US National Allergy
Old  Drugs,Times,New Coronavirus
pandemic Northern References,=,pandemic Northern =
pandemic United References,=,pandemic United =
Department,updated several,Coronavirus Commons Library
External  links,report on,Minority Staff Health Organisation COVID-19
References,=,Asian  airports
COVID-19 community References,=,COVID-19 community =
social COVID-19 restrictions,See,8 March Italian
COVID-19 prevention References,=,COVID-19 prevention lockdowns
MIQ situation,maint,2021.{{cite Managed web
Notes lockdown type References,=,stay lockdown type orders
References,=,pandemic
References,=,COVID-19  misinformation
since  References,=,accusations
COVID-19 Donald Trump References,=,COVID-19 Donald Trump pandemic
Notes Vaccine Confidence References,March,COVID-19 Coronavirus Resource Inquiry
External SARS Grant,Society of,pandemic United States
Dependent  territories,is,historical Johns Hopkins University
Risk Factors,found,pandemic country country
pandemic  deaths,see,External territory links
2019–20 COVID-19 Portfolio,Highlights by,Lancet Coronavirus Information Elsevier
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
Risk Factors,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
pandemic  deaths,see,External territory links
Risk Factors,1st,External COVID-19 links
high  References,=,high  60s
individual  deaths,See,COVID-19 Risk Factors
References,=,20  April
External country Media,announced,pandemic Wikimedia Commons
External country links,is,Alaska Health
COVID-19 Open Data It,See,COVID-19 African Health Dashboard
Notes territory References,=,Notes territory =
COVID-19  References,=,COVID-19  =
Government,maintains,new data docs.google.com
COVID-19 Eluru References,=,COVID-19 Auxiliary India
References,=,Algeria
also territory References,=,also territory =
External territory Media,increased to,Wikimedia Commons
= Public Health References,=,Saint Martin Public Health Agency
Chilean Scott authorities,report,COVID-19  Wikinews
North References,=,North country
References,=,civil 1.8 society
Statistics Demographics Source,News,daily blog English
Matías football,See,historical Johns Hopkins University
governmental  Statistics,COVID-19,COVID-19 Arkansas Health
Caribbean territory References,wave,COVID-19  site
COVID-19 vaccines References,=,COVID-19 vaccines =
social et Lessons,Impact of,historical Johns Hopkins University
COVID-19 South References,=,COVID-19 South Asia
How Swapneel Assam,Express,Covid-19
External El links,País,COVID Health Carlos III
Notes Commissioner Sid References,=,Commissioner Sid event
frequently Coronavirus Austria,map for,Interactive Erster Österreich
References,=,daily designer Zaha Hadid
External  links,See,historical Johns Hopkins University
2020 Bangladesh References,=,2020 Bangladesh =
External North links,be subject,COVID-19 North country
1  mosques,lifted from,links Agency Task Facebook
References,=,nine  victims
COVID-19 North References,=,COVID-19 North =
33 vaccine %,Dashboard,Project Dashboard Dashboard WHO
COVID-19 Global Cases,Note,historical Johns Hopkins UniversityTemplate
References,=,there  details
epidemiological SARS updates,Explorations,raw Diseases Data pandemic
pandemic West References,=,pandemic West Notes
COVID-19 Wikimedia Facebook,news,Bhutan Broadcasting Service
also South References,=,also South =
50 Sex clubs,See,External Caribbean Netherlands
also territory References,See,COVID-19 Republika pandemic
nationwide test curfew,See,COVID-19 COVID-19 Botswana
This,See,Health Testing Boston
Ministry Coronavirus Brazil,Retrieved,8  April
Coronavirus Australia,Live,COVID coronavirus Australia
first  they,Archived,since British Apr
opening opening hours,extended,historical Johns Hopkins University
Escalating Conflict,Dashboard on,Project Dashboard Health Organization WHO
also territory References,=,also territory =
Notes  References,=,military  September
COVID-19  References,=,COVID-19  =
Notes  References,=,MECQ
Cameroon Child Marriage Worries,See,Coronavirus Cameroon
first  state,See,COVID-19 Health Organization Dashboard
legislative COVID-19 bodies,removes,still state transparency requirements
National Freedom responses,yield,historical Johns Hopkins University
Dashboard |,CoronaTracker,past health security future
Notes,=,Tally  cases
Notes,=,accredited testing Zambales
Notes Schools Athletic References,=,Athletic Foundation Schools Athletic Inc.
References,=,virus
Media,See,pandemic Wikimedia Commons
COVID-19 vaccines References,=,COVID-19 vaccines =
COVID-19 vaccines References,=,COVID-19 vaccines =
External Official government,Report,Chile COVID-19
other country References,=,other country =
Commissioner Kevin Boyce,updates,24 George Floyd April
Confirmed  recoveries,cases,2021 South Colombia
based radio station You,Coronavirus in,area school closures
also ICU References,=,also ICU =
Sevastopol  References,=,Sevastopol  =
article,Jersey,ongoing Crown Man
also  References,=,also  =
Official Ravnateljstvo civilne zaštite,donated,election Zagreb earthquake
wave  Chronology,See,External North Consulytic
pandemic South References,=,pandemic South continent
References,=,pandemic territory Europe
COVID-19 vaccines References,=,COVID-19 vaccines =
COVID-19  COVID-19,announced,accurate CNC Pathlab
2019–2020 dengue fever References,=,HIV Latin America
Social You,include,COVID-19 Health Tracking Network
Coronavirus Statens Serum covid-19,retrieved,10  March
External  WHO,announced on,COVID-19 COVID-19 Djibouti
Cases,CoronaTracker,historical Johns Hopkins University
pandemic  References,=,pandemic  Chile
close  References,=,close  person
2019 government recession,See,COVID-19 Wikimedia Commons
also  References,=,also  =
External territory links,confirmed,confirmed SARS cases
COVID-19 Equatorial References,=,COVID-19 Equatorial =
COVID-19 COVID-19 References,=,COVID-19 COVID-19 Eritrea
pandemic territory pandemic,have,links Coronavirus disease Estonia
= United References,=,COVID-19 United Kingdom
COVID-19 COVID-19 References,=,COVID-19 COVID-19 =
confirmed  Coronavirus,updates,2020 Wayback Machine
also careFIJI References,=,also James Fong
Coronavirus COVID-19 Coronavirus Latest,See,daily Coronavirus COVID-19
Coronavirus Disease,CSSE,route world
COVID-19  information,planned,County Government
de Situation Source,Note,Official COVID guyane.gouv.fr
COVID-19  References,=,COVID-19  =
COVID-19 Sint References,=,COVID-19 Sint =
frequently Coronavirus France,Retrieved,8  April
pandemic  References,=,pandemic  country
also territory References,See,Official  Gagauzia
Confirmed  References,=,Confirmed  day
External country links,allowed,Public Health
External territory links,See,2020 Gibraltar Health Authority
See,map,active Links cases
2020  Coronavirus,COVID-19,Dashboard RKI States
Service Official Health Service Twitter,See,COVID-19 Health Organization Dashboard
References,=,pandemic territory Denmark
Notes territory References,=,Notes territory =
Unauthorized  events,See,links Guadeloupe Prefecture website
Official Public Health COVID—19,See,based National Technical Athens
also vaccine References,=,also vaccine =
also USS Theodore References,President,External Economic Development Authority
COVID-19  References,=,COVID-19  =
COVID-19 South References,=,COVID-19 South =
COVID-19 New Deaths References,=,COVID-19 New Deaths India
active  Gaps,deaths,Official South Health
14  Demographics,=,first  age
Daily,reports on,2020 MSPP mspp.gouv.ht
COVID-19 vaccines References,=,COVID-19 vaccines India
References,=,8 community April
other United References,=,other United countries
University Road References,been under,External  links
COVID-19 vaccines References,=,COVID-19 vaccines =
also  References,=,also  =
2020 European championship,See,media page media Facebook
References,=,Provincial Health Commission
Sjúkrahúsið á COVID-19,Forlagið,nCoV Hospital statistics
External country Information,spoke,Idaho Coronavirus Twitter
Together  We,Programme,Novel Coronavirus Infection
South References,issued,External Coronavirus Indiana
External  links,reported,imported novel coronavirus pneumonia
See,canceled for,State Public Illinois
prominent  who,is,historical Johns Hopkins University
crowdsourced Case javascript,MEA,Current Covid-19 Tracker infections
2021 Kurdistan References,=,2021 Kurdistan =
also  Timeline,announced,External Public Iowa.gov
frequently Coronavirus Iran,Retrieved,8  April
COVID-19 Wayback Paolicelli,Arrangy,animated media reports
Government Africa Centres,confirmed on,Project Dashboard Dashboard WHO
Ministry Israel coronavirus,Directory,Science London Hygiene
also Patient References,=,also Patient =
COVID-19 vaccines References,=,COVID-19 vaccines =
also covid19india.org References,=,also covid19india.org India
External  links,sourced from,Man
References,=,19  Selangor
2020 Japan COVID-19,Cases,historical Johns Hopkins University
External  links,vaccinated,pandemic Wikimedia Commons
other country References,canceled,External Kansas Health
informational country page,began,Public Health
External  links,of,Official coronavirus Karnataka
many  References,suspended international,reading IT Kazakhstan
rural  spread,strains creaky,creaky  healthcare
References,=,same  day
External  Media,infected with,historical Johns Hopkins University
29  Kosovo,See,Official References Albanian
Notes  References,=,COVID-19  Oceania
External CODD References,=,External CODD K
COVID-19 ICU References,=,COVID-19 ICU region
COVID-19 vaccines References,=,COVID-19 vaccines =
COVID-19  References,=,COVID-19  =
External  links,Centre for,confirmed Disease Prevention
How Laos Travel COVID-19,arrested for,Visitors
first Lebanon Information,Monitor,live coronavirus Lebanon
External  Kingdom,https://ewn.co.za/2020/04/15/covid-19-exclusive-lesotho-s-majoro-pleads-with-basotho-not-to-return-home,Lesotho COVID-19
External  links,identified,medium risk cases
Young  people,See,COVID-19 crisis
External territory Media,See,Official Wikimedia website
following  tests,reports on,confirmed COVID-19 cases
External United links,See,COVID-19 Cases Update
External Worldwide Coronavirus Cases,confirmed,route cases
External  links,set,Global coronavirus spread
References,=,19  February
African Union,Dec,reported Sub Saharan Madagascar
External References Media,See,pandemic Wikimedia Commons
External country links,See,Louisiana Health
References,=,=
COVID-19  References,=,COVID-19  =
External security Media,See,pandemic Wikimedia Commons
21 Portland International Statistics,See,External Maine Health
actual  Cumulative,confirmed,number  vaccinations
COVID-19 vaccines References,=,COVID-19 vaccines =
pandemic South References,=,pandemic South =
Official  Coronavirus,Statistics on,historical Johns Hopkins University
also wave health References,=,also wave health =
new  cases,Survival in,5 Sahel COVID-19
Frequently Asked Questions,See,MDH MDH API
COVID-19  information,Template,United States
COVID-19 mayotte.gouv.fr pandemic,listed as,External Réunion links
COVID-19 vaccines References,=,COVID-19 vaccines =
References,=,103  cases
major  it,See,daily midnight GMT+0
daily Worldwide Coronavirus Map,confirmed,route cases
Notes  References,=,GCQ
also self References,=,also self Notes
External country links,canceled,Mississippi State Health
See,lobbied,links Minnesota Health
Statistics,cases,Updated exposure MLive.com
External Senior Stay,See,Public Health
COVID-19 vaccines References,=,COVID-19 vaccines =
External Worldwide Coronavirus Cases,confirmed,route cases
=  data,COVID-19,27 Логос пресс .
Data,Received,External provinces links
also  Timeline,asked,External country Montana
14 day quarantine,See,External Public Montenegro
pandemic territory References,=,pandemic territory =
pandemic  References,=,pandemic  country
Spreading,axioms10010018,Stochastic Differential Equations
2020  References,=,living  Montreal
confirmed Graphs cases,sent,historical Johns Hopkins University
2021 shelf BBV152,See,links Disaster Management Authority
Information Coronavirus COVID-19,approved,Nebraska Health
External  links,suspended in,November
= COVID-19 References,=,COVID-19 COVID-19 Namibia
ultimately Joe office,See,External Nevada Health
COVID-19 South References,=,COVID-19 South =
References,=,12
Republican mask Statistics,COVID-19,2020 Emergency NH.gov
Information Hub Jersey epidemic statistics,was out,town
Coronavirus information,confirmed on,New Mexico Health
Weekly cause deaths,Information,links New York Times
also state government,Health,COVID-19  Australia
also  Timeline,includes retrospective,links York State Health
References,=,leadership pandemic
COVID-19  References,=,COVID-19  =
confirmed COVID-19 Global Cases,Journal of,2020 New England MedicineTemplate
2019–2020 dengue fever References,=,2019–2020 dengue fever epidemic
References,=,country
COVID-19 booster References,=,COVID-19 booster =
External Vie des links,website on,French government COVID-19
Worldwide Coronavirus Cases,CSSE,updated North America
Statistics,announced,links North Carolina
Korean Radio Free president,See,North Wikinews
COVID-19  References,=,COVID-19  =
also territory References,=,also territory =
Official North site,Monitoring,several North Macedonia
Coronavirus information,Resources,ND COVID-19
Notes  References,=,April
infected prayer meeting,NRK,8  municipalities
COVID-19 Nova Scotia,Information on,COVID-19 case Canada
2020 Worldometer UK Statistics,graphs,Worldometer UK
Government,saw,Tracking Nunavut
confirmed  cases,CSSE,Australian Case government
କୋଭିଡ-୧୯,By,Department COVID-19 Pandemic WHO
References,=,monthly population gender
11 Tulsa State Fair,See,Dashboard Clevyr Cares
large spectator decision,See,portal Dealer coronavirus coverage
leader Andrea Horwath,See,Novel Coronavirus COVID-19 schools
Notable ice closures,announced,External References Ottawa
COVID-19  References,=,COVID-19  =
External United links,canceled,Oregon Health Authority
Panamanian Information government,Includes,virus
External  NIH,were jobless,External  links
also Autonomous References,=,also Autonomous Bougainville
pandemic South References,=,pandemic South America
also Philadelphia Liberty Loans,See,External  links
pandemic South References,=,pandemic South Vacunagate
External  links,had,Pennsylvania Health
Polish government list,Retrieved,30 Google March
Portland Oncology Nurse,Mercury,COVID-19
C.J. Silva E. Soares,pp.[1,sanitary J. Portugal
COVID-19 vaccines References,=,COVID-19 vaccines =
Government,are,Prince Edward Island
Corona COVID-19 References,=,Corona COVID-19 Notes
also  References,=,also  =
Puerto Rico House,map,COVID-19 # invoke
=  References,=,Qatar
pandemic Montreal References,=,pandemic Montreal =
COVID-19 Queensland References,=,COVID-19 Queensland Australia
COVID-19 Family References,=,COVID-19 Family =
14 Rhode Island,See,2019 Rhode Island Health
COVID-19  References,=,COVID-19  =
и,July,28  September
External Mayotte links,be,COVID-19  country
Cases,map with,COVID-19 territory Romania
also territory References,See,2020 Wayback Machine
References,=,pandemic North country
References,=,reported  coronavirus
Indonesian AKAP Cash residents,updates on,2020 Wayback Machine
pandemic territory References,Restriction on social,pandemic North country
External territory links,See,Official  site
COVID-19 North References,=,COVID-19 North =
Notes American References,=,American Oceania
Covid Atlantic this,Retrieved,External Disease Control
pandemic territory References,=,pandemic territory Italy
deaths  References,=,deaths  day
References,=,ongoing COVID-19 pandemic
References,=,daily vaccination status
2021 Abang Johari Openg,tracker,Sarawak Covid-19 Sarawak
External © Crown links,Inspectorate,Scotland Health Protection
Pandemic Divides Muslim Senegal,au,Pandemic Divides Muslim Community
official Coronavirus information,See,website
COVID-19 death References,=,COVID-19 death Ukraine
COVID-19 PCR References,=,COVID-19 PCR =
References,=,social Ying media
External  links,dismissed,Changzhen Town
COVID-19 territory References,Page,External  Health
COVID-19  References,=,COVID-19  =
medical  care,See,External Public Health Consulytic
External  links,wave,Official Sint Maarten
Hopkins University Johns Hopkins Singapore,confirmed,COVID-19 travel pandemic
References,=,pandemic territory Europe
also territory References,=,also territory =
Notes  References,=,sudden  province
COVID-19 GeneXpert References,=,COVID-19 GeneXpert =
COVID-19  References,=,COVID-19  =
updated Coronavirus Updates,cases of,updated South America
Pfizer Oxford AstraZeneca vaccine,speeches,UCT Communicable Diseases
also AQI References,=,also AQI =
COVID-19  References,=,COVID-19  Australia
External United links,is,South Carolina Health
External United links,released,South Dakota Health
Footnotes  References,=,generally  needs
pandemic sex References,=,pandemic sex country
Statistics Nha References,=,Nha Trang
who,See,surgical mask inventory Korea
COVID-19  References,=,COVID-19  =
700.000 COVID-19 This,See,pandemic South America
References,=,new Polar pandemic
Lanka Coronavirus Updates,news,live Sri Lanka
por nuevo coronavirus,Retrieved,2020 coronavirus 01
This,is,Saúde São Portuguese
COVID-19  References,=,COVID-19  country
Information om Coronavirus,Covid-19,1177 Public Health Swedish
daily Coronavirus Switzerland,Available in,international Wayback English
Notes  References,=,25  September
COVID-19  References,=,COVID-19  region
COVID-19  References,=,COVID-19  Australia
COVID-19 territory misinformation,Page,governments
StopCoronaTN Tamil Ministry,channel,Tamil YouTube
Taiwan Ministry,防疫關鍵決策網,COVID-19 High Performance Chinese)Template
pandemic Gandhi References,=,pandemic Gandhi =
Thus Tibet Autonomous number,See,Health Tibet Committee
Thailand Thailand Coronamapper,spread,historical Johns Hopkins University
too FILBLEU literature Togo,See,COVID-19 Wikimedia Commons
External County links,November,Oil emergency Association
External country links,visit during,Governor
COVID-19 vaccine References,=,COVID-19 vaccine Oceania
10  it,stated,official Transnistria coronavirus
External Public Health links,Deaths per,Caribbean Public Health Agency
COVID-19 Transit Commission pandemic,cancelled,City Public Health Toronto
External vaccines links,=,Notes vaccines References
Official  website,finished,2020 Wikimedia Commons
References,=,Russian  order
frequently Coronavirus Turkey,information,TÜBİTAK Digital Conversion Turkey
July  References,=,COVID-19
Official  page,See,related  information
Notes territory References,=,Notes territory =
fully Charts charts,pandemic by,official Coronavirus National Spanish
pandemic West References,=,pandemic West =
COVID-19 vaccines References,=,COVID-19 vaccines =
COVID-19  pandemic,banned due,External Asia links
External country Information,followed,Utah
Notes  References,=,Notes  =
Active  cases,See,External Wikimedia Commons
pandemic Support Vermonters,See,COVID-19
Victorian Victoria lockdown,lockdown,Wikinews
Coronavirus Venezuela,See,Spanish
External Coronavirus information,hotline from,daily noon weekends
COVID-19 vaccine References,=,COVID-19 vaccine =
2020 Bluezone App,Britannica,Chi Minh City
16 College Athletic Association,See,External Coronavirus Columbia
where  COVID-19,vaccinations,External Welsh Government website
pandemic COVID-19 References,=,pandemic COVID-19 Notes
External  links,Lessons for,COVID Washington State Health
also  Timeline,saw,External West Virginia Health
COVID-19  References,=,COVID-19  Australia
Arab Democratic References,=,Arab Democratic Republic
only cargo References,=,provincial cargo transportation
also Hospitalizations Timeline,took,External country Wyoming
External  links,imposed strict,strict group activities
11 Big Ten Conference,postponed,External Health Wisconsin
References,=,1.9 million 1.9 doses
2021 vaccination References,became effective,Government  Yukon
pandemic COVID-19 References,=,pandemic COVID-19 =
Notes  References,=,Infectious Agency Task May
COVID-19 vaccines References,=,COVID-19 vaccines =
References,=,masks
also health care References,=,also health care =
COVID-19 Coronavirus China,Available in,international Wayback English
COVID-19 Australian Capital References,=,COVID-19 Australian Capital Australia
first health authorities,See,External Bougainville COVID-19
daily  References,=,500  tests
References,=,April
pandemic North References,=,pandemic North =
Falkland Islands,lists,confirmed Overseas cases
also  References,=,also  =
References,=,daily Islands government announcement
pandemic territory References,See,Official  website
COVID-19 Central African References,=,COVID-19 Central African =
Media,handed,Wikimedia Commons
External References links,site,COVID-19 vaccination
Notes Cook References,=,Notes Cook =
External Halsema links,began,case Cordillera Administrative Region
Notes  References,=,religious  television
educational Radio distribution,See,External Democratic Congo
also Daily New References,=,also Daily New =
first COVID-19 death,See,2020 Christopher Miller
Overall  statistics,=,outbreak
External  links,show,Falkland Island Government
Notes HIV prevention References,=,Notes HIV prevention =
few  hotels,See,COVID-19 Health Organization Dashboard
References,=,5  graduation
Notes  References,=,province
External territory links,See,epidemic stats visalist coronavirus faroeislands
pandemic territory pandemic,Limited to,links Man Government
also territory References,=,also territory =
also Republic References,=,also Republic =
pandemic Aasandha Maldives,April,Maldives covid-19
References,=,day
External  links,page,also  situation
intensive care unit,News,worst coronavirus outbreak
frequently Coronavirus Netherlands,Retrieved,19  March
Government,reported on,Northwest Territories
COVID-19  References,=,COVID-19  Australia
References,=,overcrowded drone testing
COVID-19 Peel pandemic,ON,Mississauga
2020  COVID-19,See,External Regional York
External Irish links,Covid-19,Health Service Executive
case UP Resilience LGU,pandemic in,local government units
COVID-19  References,=,COVID-19  =
References,=,pandemic  Oceania
also Western References,=,also Western =
Vaccinations,=,due 70 pandemic
2021 WHO oPT,updates,Gaza
pandemic North References,=,pandemic North country
2020 United Kingdom government,England,investigation
30  Statistics,See,External Virgin Islands Health
References,=,territory Europe
frequently Coronavirus UAE,English,Department  Health
hCoV-19 SARS Mutation,'s,outbreak.info
naval aircraft References,=,naval aircraft Notes
also  References,=,also  Notes
pandemic cruise References,=,pandemic cruise =
55  %,See,Frequently Theodore Roosevelt Recovery
also  References,=,also  Notes
also COVID-19 References,=,also COVID-19 =
COVID-19 COVID-19 vaccine References,=,COVID-19 COVID-19 vaccine vaccination
also  References,=,also  Notes
References,=,rapid  testing
Technical support References,=,COVID-19 IRS impersonation scam
also  References,=,also  =
economic  References,=,environment#Investments
2020 COVID-19 Testing,Electronics,Based Mantracourt Exeter
External  links,enacted,Timeline  COVID-19
Cumulative Daily vaccinations References,=,Cumulative Daily vaccinations Algeria
neutralization activity,See,External Wikimedia Commons
COVID-19 References,=,COVID-19 =
Progress Table Progress References,=,Cumulative  vaccinations
References,=,20 million trial stage
also  Deployment,topics of,Additional  interest
DD India DD India,See,medical  COVID-19
COVID-19  References,=,COVID-19  =
pandemic Pfizer References,=,pandemic Pfizer Australia
Cumulative  References,=,Cumulative  vaccinations
References,=,20 age group
Cumulative  References,=,Cumulative  Burundi
Cumulative  References,=,Cumulative  =
Cumulative  References,=,Cumulative  =
External References Media,notes,global vaccination virus
Cumulative target References,=,Cumulative target Chad
Cumulative  References,=,Cumulative  =
2021 Vaccination Vaccine,retrieved,Public Health Canada
References,=,7  February
References,=,63 % vaccination population
References,=,Danish vaccination program
Cumulative  References,=,Cumulative  Djibouti
Cumulative  References,=,Cumulative  Egypt
Cumulative Equatorial References,=,Cumulative Equatorial Guinea
Cumulative target References,=,Cumulative target Eswatini
COVID-19 Digital COVID References,=,COVID-19 Digital COVID Certificate
Footnotes territory References,=,Footnotes territory =
References,=,"8,000 Covid vaccinations"
pandemic government References,=,pandemic government =
References,=,various COVID-19 world
References,=,six million six Haiti
References,=,available János Research Hungary
External  links,Note,Data
External  links,criticized for,health party
unfulfilled Sinopharm BIBP,were mandatory,quantity
5 Vaccine You,Agency,How Clinical Trial Works
References,=,Health
2021 age References,=,2021 age =
2020 Summer References,=,now  vaccines
References,=,international NARUVAX order
also emergency References,=,also emergency =
2021  milestone,See,historical COVID-19 vaccinations
Moroccan security References,=,Moroccan security authorities
it,See,National Immunisation Programme PDF
emergency References,=,emergency use
also COVID-19 References,=,also COVID-19 =
References,=,various COVID-19 world
External Zealand government Vaccine,roll,Official Ministry Official Vaccines
References,=,2021 Datos Peru
References,=,various COVID-19 world
